,Origin,LicenceNumber,OperatorShortName,OperatingPeriodStartDate,DatasetID,FileName,dq_score,Status,Destination,URL,OperatorCode,OperatorName,RevisionNumber,ServiceCode,Description,TradingName,PublicUse,SchemaVersion,OperatingPeriodEndDate,dq_rag,FileType,bods_compliance,OperatingDays,LineName,Comment,NOC,expired service
0,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-11-19,2089,10_10A-YFAO010_YFAO010A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,10,Automatically detected change in data set,FYOR,No End Date
3,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-11-19,2089,10_10A-YFAO010_YFAO010A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,10A,Automatically detected change in data set,FYOR,No End Date
6,Bishopthorpe,PB0001747,First York Limited,2023-11-19,2089,11-YFAO011--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Fifth Avenue,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:21,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Saturday,11,Automatically detected change in data set,FYOR,No End Date
7,Chapelfields,PB0001747,First York Limited,2023-11-19,2089,1-RYAO0001--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,"Wigginton, Mill Lane",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:12,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,1,Automatically detected change in data set,FYOR,No End Date
8,Rawcliffe Bar,PB0001747,First York Limited,2023-11-19,2089,2_2A-FYA0002_YFAO002A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,2A,Automatically detected change in data set,FYOR,No End Date
9,Rawcliffe Bar,PB0001747,First York Limited,2023-11-19,2089,2_2A-FYA0002_YFAO002A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,2,Automatically detected change in data set,FYOR,No End Date
10,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2023-11-19,2089,200-YFAO200--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
11,Askham Bar,PB0001747,First York Limited,2023-11-19,2089,3-YFAO003--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
12,York Clifford Street,PB0001747,First York Limited,2023-11-19,2089,4-FYYO004--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Acomb,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:15,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,4,Automatically detected change in data set,FYOR,No End Date
14,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-11-19,2089,5_5A-YFAO005_YFAO005A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,5A,Automatically detected change in data set,FYOR,No End Date
15,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-11-19,2089,5_5A-YFAO005_YFAO005A--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,5,Automatically detected change in data set,FYOR,No End Date
16,POPPLETON BAR PARK & RIDE SITE,PB0001747,First York Limited,2023-11-19,2089,59-(YFO059)--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,POPPLETON BAR PARK & RIDE SITE,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:50,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,59,Automatically detected change in data set,FYOR,No End Date
17,University Campus East,PB0001747,First York Limited,2023-11-19,2089,66-YFAO066--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,CB1,Automatically detected change in data set,FYOR,No End Date
18,University Campus East,PB0001747,First York Limited,2023-11-19,2089,66-YFAO066--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,C2,Automatically detected change in data set,FYOR,No End Date
19,University Campus East,PB0001747,First York Limited,2023-11-19,2089,66-YFAO066--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,66,Automatically detected change in data set,FYOR,No End Date
20,University Campus East,PB0001747,First York Limited,2023-11-19,2089,66-YFAO066--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,67,Automatically detected change in data set,FYOR,No End Date
21,Clifton Moor Tesco,PB0001747,First York Limited,2023-11-19,2089,6-RYAO006--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Heslington East,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:17,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,6,Automatically detected change in data set,FYOR,No End Date
22,Designer Oulet Park & Ride,PB0001747,First York Limited,2023-11-19,2089,7-YFAO007--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,York Clifford Street,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:18,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,7,Automatically detected change in data set,FYOR,No End Date
23,Grimston Bar,PB0001747,First York Limited,2023-11-19,2089,8-YFAO008--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Grimston Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:19,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,8,Automatically detected change in data set,FYOR,No End Date
24,Monks Cross Park and Ride Site,PB0001747,First York Limited,2023-11-19,2089,9-YFAO009--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,Monks Cross Park and Ride Site,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,PB0001747:39,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,9,Automatically detected change in data set,FYOR,No End Date
25,York Sport Village,PB0001747,First York Limited,2023-11-19,2089,C1-FYORC1--FYOR-FYOR-2023-11-19-FYOR-2023-11-19-BODS_V1_1.xml,100.0,published,York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,324,UZ000FYOR:C1,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Friday,C1,Automatically detected change in data set,FYOR,No End Date
26,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-12-24,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,10,Automatically detected change in data set,FYOR,No End Date
29,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-12-24,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,10A,Automatically detected change in data set,FYOR,No End Date
32,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-12-31,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,10,Automatically detected change in data set,FYOR,No End Date
35,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2023-12-31,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,10A,Automatically detected change in data set,FYOR,No End Date
38,Bishopthorpe,PB0001747,First York Limited,2023-12-24,2089,11-YFAO011--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Fifth Avenue,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:21,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Saturday,11,Automatically detected change in data set,FYOR,No End Date
39,Bishopthorpe,PB0001747,First York Limited,2023-12-31,2089,11-YFAO011--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Fifth Avenue,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:21,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Saturday,11,Automatically detected change in data set,FYOR,No End Date
40,Chapelfields,PB0001747,First York Limited,2023-12-24,2089,1-RYAO0001--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,"Wigginton, Mill Lane",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:12,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,1,Automatically detected change in data set,FYOR,No End Date
41,Chapelfields,PB0001747,First York Limited,2023-12-31,2089,1-RYAO0001--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,"Wigginton, Mill Lane",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:12,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,1,Automatically detected change in data set,FYOR,No End Date
42,Rawcliffe Bar,PB0001747,First York Limited,2023-12-24,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,2,Automatically detected change in data set,FYOR,No End Date
43,Rawcliffe Bar,PB0001747,First York Limited,2023-12-24,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,2A,Automatically detected change in data set,FYOR,No End Date
44,Rawcliffe Bar,PB0001747,First York Limited,2023-12-31,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,2,Automatically detected change in data set,FYOR,No End Date
45,Rawcliffe Bar,PB0001747,First York Limited,2023-12-31,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,2A,Automatically detected change in data set,FYOR,No End Date
46,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2023-12-24,2089,200-YFAO200--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
47,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2023-12-31,2089,200-YFAO200--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
48,Askham Bar,PB0001747,First York Limited,2023-12-24,2089,3-YFAO003--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
49,Askham Bar,PB0001747,First York Limited,2023-12-31,2089,3-YFAO003--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
50,York Clifford Street,PB0001747,First York Limited,2023-12-24,2089,4-FYYO004--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Acomb,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:15,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,4,Automatically detected change in data set,FYOR,No End Date
